Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Damyean Dotson,SG,26,CLE,31,6,18.7,2.5,6.5,.393,0.9,3.4,.274,1.6,3.1,.526,.465,0.6,0.9,.714,0.1,1.7,1.9,2.2,0.4,0.1,0.8,0.9,6.7
Devon Dotson,PG,21,CHI,1,0,10.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
Sekou Doumbouya,PF,20,DET,34,2,13.1,1.5,4.1,.355,0.4,1.8,.250,1.0,2.4,.432,.408,0.6,0.8,.731,0.5,1.7,2.2,0.6,0.4,0.1,0.6,1.5,3.9
PJ Dozier,SG,24,DEN,23,0,19.7,2.7,6.1,.436,1.0,2.5,.379,1.7,3.6,.476,.514,1.0,1.7,.605,0.8,3.0,3.9,1.6,0.5,0.6,0.7,1.7,7.3
Goran Dragić,PG,34,MIA,25,8,27.1,5.2,11.6,.448,1.7,4.8,.361,3.5,6.8,.509,.522,2.4,2.9,.836,0.3,3.0,3.3,4.9,0.6,0.2,2.7,2.4,14.6
Andre Drummond,C,27,CLE,25,25,28.9,7.2,15.2,.474,0.0,0.3,.000,7.2,14.9,.484,.474,3.1,5.2,.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
Jared Dudley,PF,35,LAL,11,0,6.9,0.2,0.6,.286,0.2,0.5,.400,0.0,0.2,.000,.429,0.0,0.0,,0.4,1.4,1.7,0.5,0.1,0.1,0.2,0.6,0.5
Kevin Durant,PF,32,BRK,19,18,35.7,9.9,18.9,.524,2.6,5.9,.434,7.3,12.9,.565,.592,6.6,7.6,.869,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29.0
Anthony Edwards,SG,19,MIN,39,22,29.5,5.9,15.4,.381,2.0,6.4,.315,3.8,9.0,.429,.447,2.1,2.6,.802,0.7,3.4,4.1,2.5,0.9,0.4,1.9,1.7,15.8
Carsen Edwards,SG,22,BOS,15,1,10.6,2.1,4.6,.464,0.7,2.4,.306,1.4,2.2,.636,.543,0.5,0.6,.778,0.1,1.1,1.2,0.6,0.3,0.1,0.1,1.2,5.5
CJ Elleby,SF,20,POR,13,0,8.1,1.1,2.4,.452,0.4,1.5,.263,0.7,0.9,.750,.532,0.5,0.7,.667,0.3,0.8,1.1,0.2,0.3,0.2,0.2,1.4,3.0
Henry Ellenson,F,24,TOR,2,0,19.0,2.5,7.0,.357,1.0,4.5,.222,1.5,2.5,.600,.429,1.5,2.0,.750,1.5,4.5,6.0,2.5,0.0,0.5,0.0,3.5,7.5
Wayne Ellington,SG,33,DET,30,25,23.2,3.6,8.1,.446,2.7,6.4,.422,0.9,1.7,.540,.614,0.7,0.9,.741,0.3,1.5,1.8,1.4,0.4,0.2,0.7,1.5,10.6
Joel Embiid,C,26,PHI,31,31,32.6,9.5,18.0,.525,1.2,2.9,.422,8.2,15.1,.545,.559,9.8,11.4,.859,2.2,9.3,11.5,3.3,1.2,1.4,3.2,2.5,29.9
James Ennis,SF,30,ORL,24,23,21.4,2.5,5.0,.500,0.9,2.0,.447,1.6,3.0,.534,.588,1.4,1.8,.786,1.1,2.8,3.9,1.3,0.8,0.3,0.9,2.2,7.3
Drew Eubanks,C,23,SAS,18,0,12.6,1.6,3.7,.433,0.0,0.0,,1.6,3.7,.433,.433,1.1,1.6,.714,0.7,2.7,3.4,0.7,0.2,1.2,0.4,1.3,4.3
Dante Exum,SG,25,CLE,6,3,19.3,1.7,4.3,.385,0.3,1.8,.182,1.3,2.5,.533,.423,0.2,0.3,.500,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
Tacko Fall,C,25,BOS,9,0,7.3,1.3,1.9,.706,0.0,0.0,,1.3,1.9,.706,.706,0.3,1.2,.273,0.9,1.8,2.7,0.2,0.0,1.1,0.2,1.3,3.0
Derrick Favors,C,29,UTA,36,0,16.2,2.4,3.7,.649,0.0,0.0,.000,2.4,3.7,.654,.649,1.3,1.6,.789,1.9,3.5,5.4,0.8,0.5,0.9,0.6,2.4,6.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Felício,C,28,CHI,6,0,6.3,0.5,0.7,.750,0.0,0.0,,0.5,0.7,.750,.750,0.8,1.3,.625,1.0,1.0,2.0,0.8,0.3,0.0,0.5,0.5,1.8
Terrance Ferguson,SG,22,PHI,12,0,3.9,0.1,0.6,.143,0.0,0.4,.000,0.1,0.2,.500,.143,0.0,0.0,,0.0,0.1,0.1,0.2,0.1,0.0,0.3,0.6,0.2
Bruno Fernando,C,22,ATL,20,0,8.0,0.6,1.3,.440,0.0,0.1,.000,0.6,1.2,.478,.440,0.5,0.8,.600,0.7,2.4,3.1,0.5,0.1,0.1,0.8,0.9,1.6
Yogi Ferrell,PG,27,CLE,2,0,20.0,4.0,10.5,.381,1.5,4.5,.333,2.5,6.0,.417,.452,0.0,1.0,.000,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5
Dorian Finney-Smith,PF,27,DAL,28,28,31.5,3.0,7.1,.420,1.6,4.8,.343,1.4,2.4,.576,.535,0.5,0.6,.882,1.4,4.0,5.4,1.4,0.9,0.4,0.6,2.6,8.2
Malachi Flynn,PG,22,TOR,15,0,8.3,0.8,3.0,.267,0.3,1.7,.192,0.5,1.3,.368,.322,0.3,0.4,.667,0.1,0.7,0.7,1.1,0.3,0.0,0.3,0.8,2.2
Bryn Forbes,SG,27,MIL,38,6,18.7,3.5,7.3,.473,2.2,4.7,.461,1.3,2.7,.495,.620,0.5,0.7,.741,0.2,1.1,1.3,0.6,0.2,0.0,0.5,1.1,9.6
Trent Forrest,PG,22,UTA,7,0,2.9,0.0,0.4,.000,0.0,0.3,.000,0.0,0.1,.000,.000,0.3,0.3,1.000,0.0,0.3,0.3,0.6,0.3,0.0,0.1,0.3,0.3
Evan Fournier,SF,28,ORL,21,21,29.2,6.0,13.4,.450,2.5,6.7,.371,3.6,6.8,.528,.543,4.0,5.0,.790,0.2,2.9,3.1,3.8,1.0,0.3,2.1,2.0,18.5
De'Aaron Fox,PG,23,SAC,37,37,34.4,8.5,18.2,.469,1.9,5.5,.338,6.6,12.6,.526,.520,4.6,6.7,.681,0.7,2.7,3.4,7.6,1.2,0.5,3.3,3.0,23.5
Tim Frazier,PG,30,MEM,3,0,11.0,0.7,2.7,.250,0.0,0.7,.000,0.7,2.0,.333,.250,0.0,0.0,,0.0,1.3,1.3,2.3,0.3,0.0,1.0,1.3,1.3
Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13.0,.394,0.5,2.0,.250,4.6,11.0,.420,.413,2.1,2.4,.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9
Wenyen Gabriel,PF,23,NOP,5,0,3.4,0.0,0.8,.000,0.0,0.2,.000,0.0,0.6,.000,.000,0.2,0.4,.500,0.2,1.0,1.2,0.2,0.0,0.0,0.2,0.0,0.2
Daniel Gafford,PF,22,CHI,27,11,13.0,1.9,2.9,.675,0.0,0.0,,1.9,2.9,.675,.675,1.0,1.4,.667,1.3,1.8,3.1,0.6,0.4,1.2,0.7,1.9,4.8
Danilo Gallinari,PF,32,ATL,27,3,22.7,3.6,8.9,.408,2.1,5.3,.401,1.5,3.6,.418,.527,3.0,3.2,.943,0.3,3.4,3.6,1.4,0.6,0.1,1.1,1.9,12.4
Langston Galloway,SG,29,PHO,25,0,10.5,1.5,3.3,.463,0.8,1.8,.457,0.7,1.4,.472,.591,0.6,0.6,1.000,0.2,0.9,1.0,0.6,0.2,0.0,0.3,0.6,4.5
Darius Garland,PG,21,CLE,29,26,32.8,6.3,14.3,.440,1.7,4.5,.382,4.6,9.8,.467,.500,1.6,1.9,.836,0.5,1.7,2.2,5.9,1.1,0.1,2.9,2.2,15.9
Marc Gasol,C,36,LAL,35,35,20.1,1.5,3.8,.403,0.9,2.4,.365,0.7,1.4,.469,.519,0.8,1.0,.806,0.7,3.4,4.1,2.0,0.5,1.3,0.9,2.3,4.8
Rudy Gay,PF,34,SAS,29,0,21.8,4.0,9.8,.411,1.6,4.3,.376,2.4,5.5,.438,.493,1.4,1.8,.804,0.9,4.2,5.1,1.5,0.8,0.5,1.1,1.7,11.1
Paul George,SF,30,LAC,29,29,32.9,8.1,16.5,.491,3.4,7.8,.440,4.7,8.8,.535,.594,3.6,4.0,.888,0.9,5.2,6.0,5.3,1.2,0.5,3.3,2.3,23.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taj Gibson,PF,35,NYK,14,0,16.5,1.5,2.6,.568,0.2,0.7,.300,1.3,1.9,.667,.608,0.6,1.0,.643,1.4,3.1,4.6,0.5,0.6,0.5,0.6,1.9,3.9
Harry Giles,C,22,POR,22,0,11.8,1.2,2.8,.419,0.1,0.4,.375,1.0,2.5,.426,.444,0.6,0.8,.722,1.1,3.8,4.9,0.9,0.2,0.4,0.7,2.0,3.1
Shai Gilgeous-Alexander,SG,22,OKC,32,32,34.0,8.1,15.8,.509,2.1,5.0,.415,6.0,10.9,.552,.574,5.5,6.8,.808,0.6,4.4,5.0,6.2,0.8,0.6,2.9,2.1,23.7
Anthony Gill,PF,28,WAS,12,1,5.6,0.3,0.8,.300,0.1,0.6,.143,0.2,0.3,.667,.350,0.3,0.3,.750,0.3,1.3,1.6,0.3,0.3,0.2,0.3,0.3,0.8
Rudy Gobert,C,28,UTA,38,38,30.8,5.5,8.6,.643,0.0,0.0,.000,5.5,8.5,.645,.643,3.4,5.7,.602,3.4,10.1,13.5,1.3,0.5,2.8,1.7,2.3,14.4
Brandon Goodwin,PG,25,ATL,26,0,11.3,1.4,4.2,.333,0.6,2.0,.283,0.8,2.1,.382,.403,0.7,0.9,.708,0.1,0.9,1.0,1.7,0.4,0.0,0.5,0.9,4.0
Aaron Gordon,PF,25,ORL,20,20,28.3,4.7,11.1,.425,1.6,4.3,.365,3.2,6.8,.463,.495,2.6,4.2,.627,1.7,5.3,7.0,4.0,0.7,0.9,2.7,2.1,13.6
Eric Gordon,SG,32,HOU,27,13,29.2,5.9,13.6,.433,2.6,7.8,.329,3.3,5.8,.573,.527,3.5,4.2,.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8
Devonte' Graham,PG,25,CHO,27,25,31.7,4.3,12.1,.357,2.8,8.0,.353,1.5,4.2,.363,.473,2.1,2.7,.781,0.5,2.4,2.9,5.6,1.0,0.0,1.3,1.5,13.6
Jerami Grant,SF,26,DET,35,35,36.1,7.8,17.9,.434,2.4,6.8,.354,5.4,11.1,.482,.501,5.7,6.4,.888,0.8,4.5,5.3,2.9,0.7,1.1,2.0,2.7,23.6
Danny Green,SF,33,PHI,39,39,28.3,3.1,7.6,.404,2.3,5.9,.384,0.8,1.7,.477,.554,0.3,0.5,.650,0.8,2.9,3.7,1.8,1.2,0.8,1.2,1.8,8.8
Draymond Green,PF,30,GSW,33,33,29.7,2.3,5.8,.398,0.5,2.0,.258,1.8,3.8,.472,.442,0.9,1.3,.738,0.7,5.4,6.2,8.5,1.5,0.7,2.7,3.2,6.1
JaMychal Green,PF,30,DEN,26,4,20.4,3.2,7.2,.441,1.6,3.8,.424,1.5,3.3,.460,.554,1.0,1.2,.844,1.6,4.3,6.0,0.9,0.6,0.3,1.0,2.7,9.0
Javonte Green,SG,27,BOS,23,2,14.7,1.7,3.1,.549,0.3,1.0,.318,1.4,2.1,.653,.599,0.9,1.3,.667,0.9,1.4,2.3,0.4,0.8,0.1,0.5,1.3,4.6
Jeff Green,C,34,BRK,35,16,26.5,3.4,6.8,.498,1.5,3.5,.418,1.9,3.3,.583,.605,1.2,1.6,.782,0.4,3.1,3.6,1.5,0.7,0.2,0.8,1.9,9.4
Josh Green,SG,20,DAL,19,5,11.4,0.9,2.1,.436,0.1,0.6,.167,0.8,1.4,.556,.462,0.3,0.6,.545,0.6,1.5,2.1,0.5,0.2,0.1,0.6,0.9,2.2
Blake Griffin,PF,31,DET,20,20,31.3,4.1,11.1,.365,2.0,6.2,.315,2.1,4.9,.429,.453,2.2,3.1,.710,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
Kyle Guy,PG,23,SAC,16,0,7.3,0.9,2.8,.318,0.4,1.5,.250,0.5,1.3,.400,.386,0.4,0.5,.875,0.2,0.7,0.9,0.9,0.3,0.0,0.2,0.6,2.6
Rui Hachimura,PF,22,WAS,30,30,29.9,4.6,10.0,.463,0.8,2.6,.325,3.8,7.4,.511,.505,2.8,3.6,.776,1.0,4.5,5.5,1.6,0.8,0.1,1.0,2.1,12.9
Ashton Hagans,PG,21,MIN,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrese Haliburton,PG,20,SAC,32,2,29.5,4.9,10.2,.483,2.3,5.4,.430,2.6,4.8,.542,.596,0.6,0.8,.833,0.9,2.6,3.5,5.2,1.4,0.6,1.5,1.3,12.8
Josh Hall,SF,20,OKC,7,0,7.3,0.6,2.6,.222,0.1,1.1,.125,0.4,1.4,.300,.250,0.4,1.0,.429,0.1,1.1,1.3,1.0,0.0,0.0,0.6,1.0,1.7
R.J. Hampton,PG,19,DEN,24,0,9.2,1.0,2.4,.414,0.2,0.8,.278,0.8,1.7,.475,.457,0.3,0.4,.700,0.4,1.5,2.0,0.5,0.2,0.1,0.5,0.9,2.5
Tim Hardaway Jr.,SG,28,DAL,36,17,29.3,5.7,13.1,.432,2.8,7.5,.376,2.8,5.6,.507,.540,2.0,2.6,.793,0.4,2.9,3.2,1.7,0.6,0.2,0.9,1.5,16.2
James Harden,PG-SG,31,TOT,33,33,37.8,8.0,16.7,.478,3.1,8.1,.383,4.9,8.7,.566,.571,6.1,7.0,.870,0.9,7.1,7.9,11.0,1.2,0.8,4.3,2.2,25.2
James Harden,SG,31,HOU,8,8,36.3,7.5,16.9,.444,3.1,9.0,.347,4.4,7.9,.556,.537,6.6,7.5,.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
James Harden,PG,31,BRK,25,25,38.4,8.2,16.7,.489,3.1,7.8,.397,5.1,8.9,.570,.582,5.9,6.8,.865,1.0,7.9,8.8,11.2,1.3,0.8,4.3,2.4,25.3
Maurice Harkless,SF,27,MIA,11,3,11.3,0.5,1.2,.385,0.5,1.0,.455,0.0,0.2,.000,.577,0.0,0.2,.000,0.2,1.0,1.2,0.6,0.2,0.4,0.3,1.3,1.4
Jared Harper,PG,23,NYK,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Montrezl Harrell,C,27,LAL,38,1,24.3,5.7,9.1,.629,0.0,0.2,.000,5.7,8.9,.642,.629,2.5,3.3,.752,2.4,4.1,6.4,1.1,0.7,0.8,1.1,2.1,13.9
Gary Harris,SG,26,DEN,19,19,30.6,3.6,8.2,.442,1.3,3.9,.320,2.4,4.3,.556,.519,1.2,1.6,.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
Jalen Harris,SG,22,TOR,4,0,3.5,0.3,1.0,.250,0.3,0.5,.500,0.0,0.5,.000,.375,0.0,0.0,,0.3,0.5,0.8,0.5,0.3,0.0,0.3,0.5,0.8
Joe Harris,SF,29,BRK,39,35,30.9,5.4,10.2,.526,3.4,6.7,.498,2.0,3.4,.582,.691,0.6,0.8,.688,0.5,3.0,3.5,1.7,0.6,0.2,0.8,2.2,14.6
Tobias Harris,PF,28,PHI,34,34,33.6,7.8,15.1,.517,1.6,3.9,.402,6.3,11.3,.556,.568,3.0,3.4,.888,1.2,6.3,7.5,3.5,0.8,0.8,1.9,2.0,20.2
Shaquille Harrison,SG,27,UTA,17,0,3.3,0.4,1.2,.300,0.0,0.1,.000,0.4,1.1,.333,.300,0.3,0.4,.833,0.2,0.4,0.5,0.5,0.1,0.0,0.3,0.2,1.0
Josh Hart,SF,25,NOP,39,3,28.4,3.2,7.1,.449,1.3,4.0,.331,1.8,3.1,.605,.543,1.4,1.9,.740,1.0,6.3,7.3,2.1,0.8,0.2,0.9,2.4,9.1
Isaiah Hartenstein,C,22,DEN,27,0,9.4,1.5,2.9,.519,0.0,0.0,,1.5,2.9,.519,.519,0.7,1.3,.588,1.4,1.4,2.8,0.5,0.4,0.6,0.7,2.0,3.7
Jaxson Hayes,C,20,NOP,28,1,13.1,2.2,3.0,.729,0.0,0.0,,2.2,3.0,.729,.729,1.0,1.4,.718,1.3,2.3,3.5,0.4,0.4,0.5,0.6,1.8,5.4
Killian Hayes,PG,19,DET,7,7,21.1,1.9,6.7,.277,0.7,2.9,.250,1.1,3.9,.296,.330,0.1,0.3,.500,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6
Gordon Hayward,SF,30,CHO,33,33,34.7,7.7,15.9,.482,2.0,4.9,.405,5.7,11.0,.517,.545,3.7,4.3,.865,0.8,4.5,5.4,3.9,1.3,0.4,2.0,1.7,21.0
Juan Hernangómez,PF,25,MIN,20,6,16.2,2.2,5.4,.411,0.9,3.0,.300,1.3,2.4,.553,.495,0.8,1.2,.652,0.9,3.6,4.4,0.6,0.3,0.1,0.4,0.9,6.1
Willy Hernangómez,C,26,NOP,23,2,16.3,2.7,5.3,.521,0.0,0.3,.143,2.7,5.0,.544,.525,1.0,1.7,.632,2.6,3.8,6.4,1.2,0.3,0.5,0.5,1.2,6.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Herro,SG,21,MIA,28,14,32.1,6.0,13.7,.436,2.0,5.8,.340,4.0,7.9,.507,.508,1.8,2.3,.769,0.5,5.2,5.7,3.5,0.6,0.4,2.3,1.5,15.7
Buddy Hield,SG,28,SAC,38,38,34.9,5.5,14.3,.386,3.9,10.4,.373,1.6,3.9,.419,.521,1.4,1.7,.846,0.4,4.1,4.5,3.3,0.8,0.3,1.7,2.6,16.3
George Hill,PG,34,OKC,14,14,26.4,4.4,8.6,.508,1.6,4.1,.386,2.8,4.5,.619,.600,1.5,1.8,.840,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
Solomon Hill,PF,29,ATL,39,1,19.3,1.4,4.0,.355,0.9,2.9,.322,0.5,1.0,.450,.474,0.5,0.5,.857,0.5,1.7,2.2,0.9,0.7,0.2,0.6,1.7,4.2
Nate Hinton,SG,21,DAL,6,0,3.2,0.5,2.2,.231,0.2,0.8,.200,0.3,1.3,.250,.269,0.2,0.3,.500,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.2,1.3
Aaron Holiday,PG,24,IND,37,6,18.7,2.8,7.2,.381,1.1,3.0,.351,1.7,4.2,.401,.453,0.8,1.1,.725,0.2,1.1,1.3,1.8,0.6,0.1,0.8,1.7,7.4
Jrue Holiday,PG,30,MIL,28,25,30.8,6.1,12.5,.484,1.7,4.6,.364,4.4,7.9,.554,.551,1.4,1.8,.784,1.2,3.3,4.4,5.0,1.8,0.5,1.6,1.8,15.3
Justin Holiday,SG,31,IND,37,28,32.3,3.9,8.8,.442,2.5,6.2,.398,1.4,2.6,.547,.583,1.2,1.4,.827,0.6,3.3,3.9,1.7,1.2,0.4,0.8,2.2,11.4
Richaun Holmes,C,27,SAC,34,34,29.8,5.8,8.9,.654,0.0,0.2,.167,5.8,8.7,.664,.656,1.8,2.3,.805,2.6,5.9,8.5,1.7,0.7,1.5,1.4,3.9,13.4
Rodney Hood,SF,28,POR,33,5,19.5,2.1,5.5,.374,0.6,2.2,.288,1.4,3.3,.431,.431,0.3,0.4,.750,0.3,1.4,1.6,1.2,0.6,0.1,0.8,1.5,5.0
Al Horford,C,34,OKC,26,26,28.2,5.9,12.9,.455,2.0,5.4,.376,3.8,7.5,.513,.534,0.6,0.7,.789,1.0,5.7,6.7,3.3,0.8,0.9,1.1,1.8,14.4
Talen Horton-Tucker,SG,20,LAL,34,1,17.4,2.8,6.5,.436,0.5,1.9,.277,2.3,4.6,.503,.477,1.0,1.2,.829,0.3,2.1,2.4,1.9,0.8,0.6,1.3,2.1,7.2
Danuel House,SF,27,HOU,22,12,27.4,3.1,8.4,.375,1.5,5.0,.312,1.6,3.4,.467,.467,1.3,1.7,.757,0.7,3.2,4.0,1.9,0.6,0.5,1.0,2.0,9.1
Dwight Howard,C,35,PHI,39,4,16.3,2.4,4.1,.597,0.1,0.3,.308,2.3,3.7,.623,.610,1.5,2.7,.538,2.5,5.0,7.5,0.8,0.4,0.9,1.7,3.0,6.4
Markus Howard,SG,21,DEN,18,0,3.2,0.4,1.9,.206,0.2,1.3,.167,0.2,0.6,.300,.265,0.1,0.1,.500,0.0,0.3,0.3,0.3,0.1,0.0,0.2,0.4,1.1
Kevin Huerter,SG,22,ATL,39,28,31.8,4.6,10.7,.428,2.2,5.8,.368,2.4,4.9,.500,.529,0.8,1.0,.842,0.7,2.9,3.6,3.6,1.3,0.3,1.2,2.5,12.2
Elijah Hughes,SF,22,UTA,6,0,4.5,0.8,2.5,.333,0.5,1.7,.300,0.3,0.8,.400,.433,0.5,0.7,.750,0.0,0.7,0.7,0.5,0.2,0.2,0.7,0.0,2.7
De'Andre Hunter,SF,23,ATL,18,18,32.2,6.0,11.7,.514,1.7,4.6,.366,4.3,7.1,.609,.586,3.6,4.1,.877,0.9,4.5,5.4,2.2,0.9,0.5,1.4,2.6,17.2
Chandler Hutchison,SF,24,CHI,7,0,9.1,0.7,2.6,.278,0.1,0.4,.333,0.6,2.1,.267,.306,0.3,0.3,1.000,0.1,2.7,2.9,0.6,0.1,0.0,0.7,1.3,1.9
Serge Ibaka,C,31,LAC,39,39,23.6,4.5,8.9,.507,1.0,2.8,.352,3.5,6.1,.577,.562,0.9,1.2,.822,1.7,4.9,6.7,1.7,0.2,1.2,1.1,1.9,10.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Iguodala,SF,37,MIA,37,2,21.8,1.6,4.2,.378,1.1,3.2,.333,0.5,1.0,.528,.506,0.4,0.7,.560,0.6,3.2,3.8,2.1,1.0,0.4,1.0,1.4,4.6
Joe Ingles,SF,33,UTA,34,9,26.5,3.9,7.6,.521,2.4,5.3,.461,1.5,2.3,.662,.683,1.0,1.1,.895,0.4,2.9,3.4,4.4,0.4,0.3,1.6,1.8,11.3
Brandon Ingram,SF,23,NOP,39,39,34.2,8.4,17.6,.478,2.4,6.2,.380,6.1,11.4,.531,.545,4.5,5.1,.884,0.6,4.5,5.1,4.7,0.6,0.8,2.3,2.0,23.7
Kyrie Irving,PG,28,BRK,28,28,35.5,10.4,20.3,.514,2.9,7.1,.407,7.5,13.2,.572,.585,3.6,4.0,.894,1.2,3.7,4.9,5.8,1.1,0.6,2.4,2.8,27.4
Wesley Iwundu,SF,26,DAL,20,3,12.3,0.7,2.4,.298,0.2,1.2,.130,0.6,1.2,.458,.330,0.5,0.6,.818,0.3,1.5,1.8,0.4,0.4,0.2,0.3,1.0,2.0
Frank Jackson,PG,22,DET,9,0,6.0,0.7,2.4,.273,0.4,1.4,.308,0.2,1.0,.222,.364,0.0,0.0,,0.0,0.9,0.9,1.1,0.1,0.0,0.4,0.6,1.8
Josh Jackson,SG,23,DET,34,6,24.7,4.7,11.2,.421,1.2,4.4,.284,3.5,6.9,.509,.476,2.5,3.6,.699,1.0,3.4,4.4,1.9,0.9,0.9,2.3,2.9,13.2
Justin Jackson,SF,25,OKC,27,3,16.4,2.4,6.0,.404,1.0,3.2,.299,1.4,2.7,.527,.484,0.7,0.9,.792,0.4,1.9,2.3,1.5,0.4,0.1,1.0,1.0,6.5
Reggie Jackson,SG,30,LAC,37,17,20.5,3.3,7.3,.454,1.4,3.4,.411,1.9,3.9,.490,.548,0.9,1.2,.767,0.4,2.3,2.6,2.9,0.5,0.1,1.0,1.9,8.9
Justin James,SF,24,SAC,15,0,4.8,0.7,1.6,.417,0.1,0.6,.222,0.5,1.0,.533,.458,0.1,0.5,.250,0.2,0.4,0.6,0.4,0.2,0.1,0.1,0.2,1.6
LeBron James,PG,36,LAL,37,37,34.6,9.6,18.9,.507,2.4,6.6,.357,7.2,12.3,.588,.569,4.1,5.9,.689,0.6,7.3,7.9,7.8,1.1,0.6,3.7,1.6,25.6
DaQuan Jeffries,SG,23,SAC,14,2,14.4,1.6,3.8,.415,0.6,1.8,.320,1.0,2.0,.500,.491,0.4,0.5,.857,0.5,1.1,1.6,0.3,0.4,0.3,0.5,1.4,4.1
Ty Jerome,SG,23,OKC,7,1,26.4,3.6,8.6,.417,1.7,5.1,.333,1.9,3.4,.542,.517,0.1,0.3,.500,0.9,3.1,4.0,3.4,0.7,0.1,0.9,2.9,9.0
Isaiah Joe,SG,21,PHI,21,1,11.8,1.5,4.0,.369,1.1,3.0,.375,0.3,1.0,.350,.512,0.2,0.2,1.000,0.3,0.9,1.1,0.7,0.3,0.2,0.2,1.0,4.3
Cameron Johnson,PF,24,PHO,34,9,24.2,3.7,8.4,.437,2.1,5.7,.378,1.5,2.7,.559,.565,0.9,1.1,.865,0.6,2.8,3.4,1.4,0.6,0.3,0.8,1.4,10.4
James Johnson,PF,33,DAL,29,1,17.4,2.3,5.0,.462,0.5,2.1,.250,1.8,2.9,.612,.514,0.6,1.0,.586,0.5,2.5,3.0,1.7,0.8,0.8,0.9,2.0,5.7
Keldon Johnson,SF,21,SAS,32,30,28.6,5.2,10.8,.480,0.9,2.9,.326,4.2,7.9,.536,.523,2.6,3.3,.781,1.5,4.8,6.3,2.0,0.7,0.5,1.3,2.2,13.8
Stanley Johnson,PF,24,TOR,35,5,14.2,1.1,2.7,.398,0.7,1.7,.400,0.4,0.9,.394,.527,0.3,0.4,.786,0.5,1.8,2.2,1.3,0.7,0.3,0.7,1.6,3.1
Tyler Johnson,SG,28,BRK,20,1,14.2,1.6,4.0,.392,1.2,2.9,.421,0.4,1.1,.318,.544,0.4,0.4,1.000,0.2,1.5,1.7,1.0,0.3,0.0,0.3,0.8,4.7
Nikola Jokić,C,25,DEN,38,38,35.9,10.6,18.7,.566,1.5,3.7,.411,9.1,15.0,.605,.607,4.4,5.1,.876,2.8,8.3,11.1,8.6,1.6,0.6,3.1,2.8,27.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Jones,C,25,TOT,18,2,7.8,0.8,1.3,.625,0.0,0.1,.000,0.8,1.3,.652,.625,0.6,0.9,.647,0.5,0.8,1.3,0.2,0.1,0.5,0.4,1.6,2.3
Damian Jones,C,25,PHO,14,0,6.7,0.6,1.1,.500,0.0,0.1,.000,0.6,1.1,.533,.500,0.4,0.8,.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6
Damian Jones,C,25,LAL,4,2,11.5,1.8,2.0,.875,0.0,0.0,,1.8,2.0,.875,.875,1.3,1.5,.833,0.5,1.0,1.5,0.0,0.0,1.0,0.3,2.3,4.8
Derrick Jones Jr.,SF,23,POR,34,33,26.6,2.9,5.8,.500,0.8,2.5,.329,2.1,3.3,.628,.571,1.3,2.0,.657,1.7,2.9,4.6,0.9,0.8,1.0,0.7,2.4,7.9
Mason Jones,SG,22,HOU,24,1,11.1,1.8,4.1,.439,0.9,2.4,.386,0.9,1.7,.512,.551,1.2,2.0,.617,0.2,1.8,2.0,1.4,0.3,0.0,1.2,0.9,5.7
Tre Jones,PG,21,SAS,15,0,4.3,0.9,1.7,.538,0.1,0.1,1.000,0.9,1.7,.520,.558,0.3,0.3,1.000,0.3,0.0,0.3,0.4,0.0,0.0,0.3,0.3,2.3
